nx ny nz f
0.626917250 -0.434678612 -0.646551828 2.135533823
0.849012540 0.152273667 -0.505954975 19.776916269
0.488662105 -0.262980515 -0.831895784 8.011670391
0.817989424 -0.007686159 -0.575181907 22.867542229
-0.021164178 0.856422576 0.515841496 10.738252139
0.031855622 -0.540665443 0.840634343 7.053856216
0.570288532 -0.608685643 -0.551609263 59.651608002
0.614093209 0.170235442 -0.770655192 13.407713252
-0.054160618 -0.592063538 0.804069272 14.501007822
0.689385783 -0.687358590 -0.228660035 40.890803086
0.690999828 -0.488897753 0.532445514 11.940766646
0.909120109 0.202345406 -0.364083732 6.734366680
0.146927906 -0.701468383 -0.697391066 19.653651057
0.429457341 -0.523738692 -0.735706582 6.285275785
0.022715504 0.342112647 0.939384343 22.056922453
0.046662403 -0.828891197 -0.557460316 11.343318769
0.505394424 0.704402330 -0.498391246 3.748657167
0.677610943 -0.103618653 -0.728084188 13.667223101
0.606172046 -0.733007894 -0.308633891 9.441064895
0.420848344 0.892411188 0.162754241 4.676441724
0.366355004 -0.913011451 -0.179427146 3.992354028
0.360553580 -0.884234486 -0.296867798 42.584598445
0.819386240 -0.520274958 -0.240666071 57.183719061
-0.293749927 -0.951011217 0.096377622 19.622476282
0.446281917 0.296744439 0.844260142 3.528022350
0.193786982 -0.782290751 0.592003198 24.010308116
0.238698550 0.445976422 -0.862628561 8.565953901
-0.025216814 -0.489290333 0.871756320 15.916246845
0.045589964 -0.931784664 -0.360137329 24.070422985
0.142271979 -0.985582586 0.091573199 2.532487917
0.948514833 0.170308867 -0.267047753 2.228814173
0.763425093 0.424189796 0.487078170 3.967245372
0.186301867 -0.335557067 -0.923413812 11.647070112
0.910424396 -0.348559397 0.222786367 36.407999656
0.580725725 -0.778369411 0.238534467 16.233912669
0.712307284 -0.282981670 -0.642292540 25.123897619
-0.105556449 0.865384644 -0.489864527 55.241695163
0.649149525 0.149384234 0.745848004 10.134115620
0.847038691 0.414913903 -0.332222679 6.355984933
0.885223775 -0.277875046 0.373047351 6.838148708
-0.101878570 0.841591044 0.530419902 14.214784933
0.355052644 -0.726035751 0.588905517 38.730909505
0.676345093 0.719480664 0.157812830 1.126674213
0.793010509 -0.457343872 -0.402456104 50.537860225
0.539961225 0.303569393 0.785039808 0.401073997
0.481316765 -0.414524680 0.772336366 31.100032791
0.985855816 0.083659309 -0.145222001 22.893113902
0.375835558 0.745085044 -0.550995382 0.478698692
0.576653257 -0.774980135 0.258605514 45.712239039
0.199345009 0.373992340 0.905754546 4.950419840
0.751007071 0.333620415 -0.569812072 4.145454774
0.208950792 -0.182486695 -0.960748756 38.706545400
0.318409593 0.744213548 -0.587163968 11.856703934
0.382693446 0.640572170 -0.665742458 5.445713356
-0.626949856 -0.689070420 0.363477419 0.187458187
0.480350890 -0.380325867 -0.790326045 40.443536546
0.549286306 0.021581631 0.835355486 18.373262935
0.806089080 -0.182035178 0.563101757 23.086672490
0.985023228 0.156455787 0.072462596 12.406662406
0.417589852 -0.278307424 0.864964562 33.056392354
0.644638003 -0.422886308 -0.636874411 19.154733397
0.101084724 -0.231568358 -0.967552569 9.376129728
0.549044160 -0.312761913 0.775068059 15.437771926
0.254536848 0.011394909 -0.966995941 7.575157384
0.650034878 0.312846075 0.692518585 10.673924354
0.613247911 0.273003704 -0.741212504 5.326365446
0.184689051 0.532113276 0.826284101 16.548084256
0.209046486 0.486050202 -0.848560409 12.116154986
0.049515139 -0.575904324 -0.816016213 1.909550435
0.812700732 -0.578118357 -0.072778336 26.264294497
0.668961043 0.022903472 -0.742944516 1.098186423
-0.222410698 -0.881712564 -0.416072633 20.503692931
0.112121939 -0.722933205 0.681759673 13.188225597
0.400015004 0.544320852 -0.737362059 20.500577132
0.683931060 -0.126385130 0.718515904 24.663977205
0.217398462 0.598890918 -0.770757794 22.646128086
-0.025947042 -0.622832763 -0.781924613 7.204476353
0.558426071 0.376684436 0.739100236 27.907556333
0.244414819 0.056821353 -0.968004509 15.580148277
0.664514645 0.706861621 -0.242418925 0.003314548
0.650836608 -0.320945266 -0.688044945 2.915511239
0.413307399 -0.805238046 -0.425169005 17.428445849
0.114785956 0.162775438 0.979963439 11.479327550
0.575039893 -0.229585309 -0.785251366 8.323644218
0.055476279 0.892779048 0.447065940 9.190974657
0.944354081 -0.125339548 -0.304114069 22.191456904
0.240899098 -0.415160994 -0.877273603 4.877373557
