id1 id2 nx ny nz f
4483 8178 0.872182307 -0.489180972 0.000000000 185.732472554
7312 8790 0.154404503 -0.988007717 0.000000000 0.033053298
7860 8449 0.283014931 -0.959115503 0.000000000 138.150340771
2780 8325 0.636779639 -0.771045843 0.000000000 180.378805755
7283 3693 0.732591462 -0.680668605 0.000000000 39.918951304
258 554 0.766500054 0.642244242 0.000000000 224.320790911
2902 7431 0.999450534 -0.033145594 0.000000000 89.185312428
4300 5830 0.678908035 0.734223317 0.000000000 181.609887895
8449 3999 0.754928616 0.655806972 0.000000000 185.787147327
8662 2968 0.870794778 -0.491646677 0.000000000 322.413155119
8471 1507 0.451481722 -0.892280368 0.000000000 162.295443554
5464 841 0.649884261 0.760033188 0.000000000 109.945222801
3284 4738 0.706943914 -0.707269611 0.000000000 280.880347478
5935 6875 0.893309835 -0.449441362 0.000000000 164.674944474
3693 9978 0.547621006 -0.836726499 0.000000000 207.935839355
1504 5350 0.987855810 0.155373414 0.000000000 216.245637764
2069 2886 -0.990966695 0.134108198 0.000000000 97.214699946
4640 8608 0.211753516 -0.977323103 0.000000000 129.706608684
9557 2349 0.899041048 0.437864355 0.000000000 35.443151571
5955 5048 0.608758328 0.793355720 0.000000000 94.562912176
7061 7432 0.874630756 -0.484789688 0.000000000 76.582356149
1754 5888 0.707994891 0.706217555 0.000000000 296.020956699
7882 4067 0.957253405 -0.289250617 0.000000000 127.050626203
8566 4550 0.635607990 -0.772011971 0.000000000 99.972927496
9225 5293 0.546361804 0.837549270 0.000000000 199.402819344
2746 2819 0.988730475 -0.149706542 0.000000000 304.095903859
8915 5293 0.657647630 -0.753325690 0.000000000 186.242452666
8915 2493 0.817700639 0.575643696 0.000000000 61.709501860
478 2926 0.430857731 0.902419866 0.000000000 242.173481348
4067 4550 -0.212237832 0.977218043 0.000000000 158.049694678
7005 9491 0.995191712 -0.097946190 0.000000000 67.310791434
5293 7573 0.527166035 -0.849762303 0.000000000 53.583265167
7120 8155 0.655213151 0.755444059 0.000000000 48.826279601
8223 550 0.874070393 -0.485799288 0.000000000 2.268354636
8725 2504 0.750351200 0.661039391 0.000000000 116.510497648
8898 250 0.685643729 -0.727937276 0.000000000 266.183587026
6297 3810 0.691606842 -0.722274170 0.000000000 117.062200975
2771 9045 0.948798005 -0.315883437 0.000000000 152.040872493
9491 7862 0.794882349 -0.606763587 0.000000000 79.255489923
2969 5355 0.085271557 0.996357748 0.000000000 165.930004579
5584 2525 0.721530706 0.692382438 0.000000000 146.600069276
4523 5183 0.428329322 0.903622704 0.000000000 27.223824875
6113 1749 0.922085298 -0.386986696 0.000000000 110.145317453
2568 8985 -0.017093684 0.999853892 0.000000000 93.717897278
4605 7904 0.859900051 0.510462439 0.000000000 240.967741337
345 8660 0.596564139 -0.802565404 0.000000000 96.841173915
6724 1940 0.855341880 0.518063962 0.000000000 96.601387193
4798 7976 -0.480365209 -0.877068564 0.000000000 116.013118191
1606 8209 0.696026366 -0.718016224 0.000000000 100.567766242
2361 8698 0.919132679 0.393948115 0.000000000 56.182443753
2702 5934 -0.937111647 0.349029742 0.000000000 141.924491983
6384 8698 0.788980882 -0.614417747 0.000000000 260.187674675
2504 8314 0.946643146 -0.322283654 0.000000000 114.518627116
4407 9059 0.653852806 0.756621773 0.000000000 101.452712816
330 8314 0.751394011 0.659853802 0.000000000 117.907331968
3810 8209 0.273749774 0.961800947 0.000000000 119.742960627
2455 9606 0.742090169 -0.670300068 0.000000000 188.615348398
4110 48 0.825751479 -0.564034126 0.000000000 104.991323883
9591 1916 0.266997689 -0.963697169 0.000000000 250.457488029
7435 2094 0.977117014 0.212702471 0.000000000 157.435330890
5290 2543 0.884196905 -0.467114369 0.000000000 170.557848543
5284 8251 0.733692057 0.679482130 0.000000000 294.385954173
5284 6914 0.955958013 -0.293503453 0.000000000 20.905729903
5923 4919 0.336428333 -0.941709072 0.000000000 85.268945390
8410 9084 0.383881428 -0.923382396 0.000000000 110.192435740
2525 4949 0.993751277 -0.111617201 0.000000000 124.604372876
6366 1511 0.269222427 -0.963078026 0.000000000 115.233343123
8828 6762 0.666297382 0.745686126 0.000000000 48.423643873
3581 196 0.360760270 0.932658580 0.000000000 133.758276089
1029 7978 0.824392885 0.566017995 0.000000000 220.990174858
8314 2649 0.216415359 -0.976301384 0.000000000 253.078317792
5399 8045 0.629879481 -0.776692886 0.000000000 70.485236645
4701 3004 0.705839913 -0.708371384 0.000000000 123.268123248
48 2720 0.766500832 0.642243314 0.000000000 64.924107046
5322 9611 0.932704860 0.360640601 0.000000000 117.998454213
4321 8682 0.998373960 0.057003817 0.000000000 71.778345139
8387 8069 0.668183645 -0.743996382 0.000000000 122.686664265
4072 5845 0.989160105 -0.146841023 0.000000000 83.587108988
196 7399 0.906679588 0.421820014 0.000000000 209.639890647
9529 9390 0.989924260 0.141597879 0.000000000 126.149056254
7978 1536 0.805391773 0.592742855 0.000000000 97.947484697
6696 7837 0.835472654 -0.549532023 0.000000000 92.286183463
3004 6695 0.710006711 -0.704194910 0.000000000 95.997441153
9611 3110 0.560163609 0.828381996 0.000000000 94.195845131
2638 5354 0.824248790 -0.566227809 0.000000000 91.680186926
3315 3047 0.739971502 -0.672638221 0.000000000 233.071267904
8069 6236 0.662284798 0.749252191 0.000000000 83.401012606
4310 3176 0.574779794 0.818308125 0.000000000 108.414795275
4432 1267 0.830520255 0.556988425 0.000000000 171.345410418
5113 982 0.680794163 0.732474783 0.000000000 301.602782403
3299 1625 0.758699725 -0.651440502 0.000000000 151.376964845
6984 9087 0.444113927 0.895970323 0.000000000 163.883532289
6984 1715 0.855457759 -0.517872593 0.000000000 81.029104570
1595 993 0.562321298 -0.826918834 0.000000000 234.135557575
6517 7392 -0.658081017 -0.752947126 0.000000000 113.149151855
3932 9731 0.978846140 0.204597740 0.000000000 40.444539079
8100 1649 0.915978495 -0.401227362 0.000000000 101.639182383
4933 9340 0.599606281 -0.800295138 0.000000000 223.975806129
8216 3332 0.439384910 0.898298893 0.000000000 177.728746284
9806 1649 0.806639549 0.591043685 0.000000000 94.427977537
2101 7187 0.565759985 -0.824569972 0.000000000 80.028991866
8940 651 0.125480622 -0.992096071 0.000000000 50.018010422
7948 1727 0.700635260 0.713519609 0.000000000 84.581240034
7952 3891 -0.536425134 -0.843947911 0.000000000 112.364422284
7022 1028 0.550016969 -0.835153479 0.000000000 144.136844284
601 2599 0.835106136 -0.550088849 0.000000000 50.280287066
8385 2204 0.442888134 0.896576879 0.000000000 7.971266612
265 5739 0.753401684 0.657560569 0.000000000 288.734148055
2059 4510 0.997380526 0.072333166 0.000000000 103.120491836
946 9926 0.737284810 0.675582052 0.000000000 112.105485143
6185 8976 0.082864707 -0.996560806 0.000000000 194.453631411
7377 3988 0.040644526 -0.999173670 0.000000000 99.832800802
8095 3924 -0.219488736 -0.975615034 0.000000000 112.017422640
9718 6148 0.911851728 0.410519701 0.000000000 44.605675931
3205 4150 0.796366633 0.604814174 0.000000000 187.967515416
1218 9123 0.172665894 -0.984980451 0.000000000 61.759008442
2204 7046 0.566089178 -0.824344007 0.000000000 112.645454132
5249 4150 0.916880546 -0.399161703 0.000000000 166.781076484
