nx ny nz f
0.668098350 0.642993964 0.374437387 0.040422684
0.780098368 0.622435599 -0.063407104 0.104025442
0.621886546 -0.780635523 0.062171571 0.076960720
0.635502442 0.430147813 -0.641178216 0.087725614
0.754284201 -0.062356428 0.653580156 0.042184664
0.433996316 0.333775029 0.836804295 0.173056096
0.526897096 0.829347510 0.185909002 0.108102927
0.511191106 -0.820507503 -0.255834108 0.109880447
-0.234223311 -0.419144088 -0.877187366 0.190694984
0.282527059 -0.615431033 0.735814586 0.089723710
0.272952995 -0.302385980 0.913268515 0.003832879
0.274924954 0.826656492 0.490973842 0.006713203
0.322279835 -0.537565374 0.779204194 0.037062723
0.775688617 0.258927841 0.575554986 0.064676571
0.531517415 0.789270875 0.307474753 0.003707918
0.906221064 -0.125734106 -0.403676005 0.237892399
0.607329481 0.076089780 0.790797854 0.073091579
-0.971651487 0.228755957 0.059700080 0.077526724
-0.175950396 -0.981134301 -0.080105810 0.216534663
0.943991097 0.049028104 -0.326308219 0.010965156
0.665898950 -0.675286708 -0.317122139 0.018660236
0.220841263 -0.622245116 -0.751026066 0.001406939
0.449728315 0.809696969 -0.377008303 0.029610014
0.864301813 0.499740569 -0.056936277 0.102123182
-0.027838736 -0.366375460 0.930050551 0.004452947
-0.070723495 -0.402314290 0.912765797 0.017584504
0.672527439 0.704032890 -0.228132711 0.146590048
0.944855332 -0.251486919 -0.209768279 0.077236416
0.857298995 0.075245654 0.509290216 0.184818355
0.696048130 0.261462162 -0.668696148 0.000458794
0.136427424 0.768339235 -0.625333814 0.170279380
0.583141342 -0.802994976 0.123066014 0.011426805
0.714303818 -0.082170590 -0.694995000 0.059456434
0.742892391 0.174959224 0.646142528 0.392767099
0.615115561 0.217030772 0.757977896 0.047228195
0.523817279 -0.542413327 0.656812942 0.014431450
-0.103384471 0.647887754 0.754687425 0.021331225
0.701474539 -0.712677778 -0.004884311 0.114395073
0.507553574 -0.141071544 0.849993053 0.102641968
-0.012467960 -0.581792426 -0.813241737 0.074881174
0.473176555 0.773113739 0.422373169 0.022915702
0.753612134 -0.652081843 -0.082813172 0.032813305
-0.499820994 -0.380709136 0.777971418 0.129628366
0.901259018 0.356074025 0.246867313 0.175565437
0.461806156 0.856531264 -0.230411083 0.070263419
0.551874546 -0.829983491 0.081005497 0.105155712
-0.990270589 -0.132793727 -0.041593118 0.116402355
0.900278217 0.386226630 -0.200818630 0.050377076
0.664891695 -0.593265082 -0.453823287 0.016194342
0.534431808 0.311487507 0.785721436 0.027379896
0.182096629 0.890835239 0.416237186 0.072549231
0.693042861 -0.571947338 -0.438825518 0.065628795
0.413930085 0.632308501 -0.654864752 0.038914016
0.380195936 0.854966537 0.352821869 0.216634173
0.769843246 -0.636370418 0.048724399 0.247219955
0.324398853 -0.834481790 -0.445427353 0.020236387
0.604749415 -0.506029332 -0.614989804 0.025127276
-0.991672373 -0.008360129 -0.128514639 0.081127158
0.520964865 0.485449786 0.702092668 0.019533499
0.041387114 0.872293033 0.487228869 0.041026919
0.461442019 -0.788007221 -0.407573163 0.019070356
0.571883703 0.451759273 -0.684735416 0.049428277
0.334955339 -0.724944457 0.601880765 0.037941198
0.983610236 0.092299393 -0.154892627 0.102608598
0.146578708 0.927862916 0.342906827 0.052425865
0.549427135 -0.584637166 -0.596933168 0.038598544
0.300104624 0.695563649 -0.652785129 0.013801608
0.021522202 -0.819284827 -0.572982694 0.188110362
0.485756328 -0.604953995 0.630929040 0.060599898
0.900618061 0.361003328 -0.241999391 0.026482544
0.170351727 -0.399012179 0.900982558 0.104607672
0.512592377 -0.327432812 0.793748580 0.022548549
0.718361983 -0.187682655 -0.669874079 0.041812318
0.314449179 0.885422983 -0.342268689 0.006699551
0.373343728 -0.452763135 0.809703652 0.002209394
0.763132886 -0.167033245 -0.624282062 0.116076874
0.456221650 -0.396595952 -0.796601191 0.073039198
0.686173807 0.661455082 -0.302725422 0.086339253
0.881687162 -0.443760765 -0.160325083 0.104928613
0.498483931 -0.796035089 0.343281092 0.036095760
0.169440804 0.825660988 0.538120570 0.066018557
0.618257324 -0.202403062 -0.759467499 0.063768150
0.574272677 0.411617423 0.707659515 0.118539212
0.654914469 -0.440743115 -0.613866880 0.095488582
0.545542501 0.514625380 -0.661471162 0.019775496
-0.809731221 0.126153880 0.573079879 0.126508018
0.555521228 -0.298313824 0.776147555 0.214787952
0.807123108 0.568674748 -0.158623201 0.025254472
0.734670462 -0.227104432 -0.639283106 0.123320468
0.609348277 -0.005210759 0.792885569 0.018533267
0.629142931 -0.047532550 -0.775834924 0.071503902
0.193687672 -0.673857747 0.713022316 0.038603884
0.095749735 0.456847924 0.884376596 0.030945647
0.471930315 -0.070151264 -0.878840474 0.066784386
-0.325490839 0.437090960 -0.838455250 0.035552960
-0.001679730 -0.381349637 0.924429355 0.041527224
-0.457473456 -0.861039468 -0.222101490 0.098621060
0.667637888 -0.536536579 -0.516128036 0.052960710
0.500891580 0.861988841 -0.077992712 0.100782511
